Version ,Code change,Metric 5,Lines of code,Bugs ,Metric 6
3.6.1,110,79.1,208891,29,0.1388283842
3.6,15345,231.45,208840,9,0.04309519249
3.5,3078,108.78,196550,35,0.1780717375
3.4.1,10,78.1,195591,13,0.06646522591
3.4,9930,177.3,195595,7,0.0357882359
3.3,28228,360.28,187519,36,0.191980546
3.2,13234,210.34,162818,36,0.2211057745
3.1,45458,532.58,152843,8,0.05234129139
3,158894,1666.94,120424,78,0.6477114197
2.2,21412,292.12,97410,55,0.5646237553
2.1,13772,215.72,82033,33,0.4022771324
2,95099,1028.99,78435,52,0.6629693377